background_library,driver_shortname,gene_name,gene_age,gene_origin,chromosome,female_cross_mean,male_cross_mean,female_cross_sd,male_cross_sd,female_cross_lwr,male_cross_lwr,female_cross_upr,male_cross_upr,female_lwr_2.5,male_lwr_2.5,female_median,male_median,female_mean,male_mean,female_sd,male_sd,female_upr_97.5,male_upr_97.5,male_beneficial,female_beneficial,male_detrimental,female_detrimental,signif
GD,Tub,CG14251,6-11MYA,D,3,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.5151839449064908,-1.1308394209231523,-0.07191647616864694,-0.6869935308987847,-0.06483460820186553,-0.677713642149668,0.23442789718713591,0.23864824446321686,0.41329525910151105,-0.20289466325425026,FALSE,FALSE,TRUE,FALSE,TRUE
GD,Nos,CG14719,6-11MYA,D,3,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.5227199257835422,-0.5204956421047304,-0.09978630784289909,-0.101165013968776,-0.09784163059959038,-0.098658539853622,0.221557190706799,0.22408281593146182,0.3467601678274288,0.3415299959435855,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG15635,3-6MYA,R,2,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.45174474271809295,-0.17043207371128274,0.008177472185720958,0.26064182464153385,0.012932955108049335,0.26895592270734614,0.2471344904082842,0.2350004156892986,0.509067578436494,0.7406249329244879,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG15635,3-6MYA,R,2,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.4825856206611214,-0.4920898022080419,-0.05850765440267784,-0.07621176713118859,-0.05873355714497909,-0.07542109550490692,0.2173542100247189,0.2203235401719733,0.37047337138172964,0.37524997943624766,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG15635,3-6MYA,R,2,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.442310410324559,-0.07744413149918174,-0.005305223047474457,0.37388532143824904,-2.3885928028574596e-4,0.3802570439716454,0.23335250595879786,0.24340198160143195,0.4681785109598653,0.8737283315531005,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG16931,11-25MYA,D,3,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.7793810074000058,-0.33232643759394914,-0.34367125959537226,0.11249699943005552,-0.3320310859639633,0.11570577328426301,0.2403895754923825,0.2361307344143753,0.16474073045541282,0.5943468576221184,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG16931,11-25MYA,D,3,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.34587159242821447,-0.2940253309560298,0.08920631646226265,0.15341640592273742,0.092796858612055,0.15649370307676405,0.22951140390257332,0.23127988502315627,0.5459024491547916,0.625686017402086,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG16931,11-25MYA,D,3,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.6299554238278376,-1.0024555254567487,-0.173157441260109,-0.5617524535249234,-0.17102350597953847,-0.5579396138384939,0.23756524740897395,0.23271583616427985,0.31093227162173165,-0.08750927933040087,FALSE,FALSE,TRUE,FALSE,TRUE
GD,Act,CG17012,11-25MYA,D,2,0.3318144888202661,NA,0.7915056506486166,NA,-1.3569847070181051,NA,1.8204095495355554,NA,-8.134568742289144,NA,-5.5485026730983265,NA,-5.679987155934611,NA,1.10354545888481,NA,-3.875778965700769,NA,NA,FALSE,NA,TRUE,TRUE
GD,Tub,CG17012,11-25MYA,D,2,0.34498936675355885,NA,0.7949144987721093,NA,-1.3211770827480522,NA,1.873852265759217,NA,-13.426456060720692,NA,-7.238385463468633,NA,-7.6318061571321465,NA,2.4510274001867103,NA,-3.974898911611467,NA,NA,FALSE,NA,TRUE,TRUE
GD,Act,CG17216,6-11MYA,D,3,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.3093090209939777,-0.48673059919554235,0.12628572334333274,-0.047403762089961304,0.13595381224187775,-0.04219460899544183,0.23880943830596457,0.23633977797998987,0.6261891835637903,0.4327711592504081,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG17216,6-11MYA,D,3,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.4957019584379996,-0.27583274276925474,-0.08594112169145118,0.13971545269013008,-0.0789580191373893,0.13955829599056602,0.2171434563570005,0.2168137625756809,0.3620706551249759,0.5682002029395035,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG17216,6-11MYA,D,3,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.6889587760492971,-0.47884773521007706,-0.25180651478385574,-0.041167062017288494,-0.24337740575217678,-0.0372661433483618,0.23748416575519612,0.23222984312050915,0.22818400752831405,0.4288036481112537,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG1736,6-11MYA,R,3,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.7637569397699524,-1.5242583209183223,-0.2693684813384375,-1.0829484281244555,-0.26089897353219244,-1.0750964748885385,0.270702398897219,0.23626582515436115,0.2905613464459849,-0.6014207914950923,FALSE,FALSE,TRUE,FALSE,TRUE
GD,Nos,CG1736,6-11MYA,R,3,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.40874636449722845,-0.5580511307026303,0.019823571423219506,-0.13851755978220337,0.022905546446390482,-0.13404997814326738,0.22607433835507645,0.22218299436273609,0.48219346955226133,0.31317534559584764,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG1736,6-11MYA,R,3,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-3.4515854041447023,-2.048609986628165,-2.9044226925666337,-1.5780625355829199,-2.904331251612191,-1.5759819291267438,0.2756728121217731,0.2489063258258716,-2.359521988545572,-1.0797658826330572,FALSE,FALSE,TRUE,TRUE,TRUE
GD,Act,CG18125,11-25MYA,D,2,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.4282252356443139,-0.41378645502452116,0.008849370119923004,0.03658033877852337,0.013662526227705212,0.039525947492361484,0.23352812365533626,0.23227693877440073,0.48728158855139647,0.5135447187931789,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG18125,11-25MYA,D,2,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.545424529801317,-0.11134299395722615,-0.11765378520076189,0.3285909320304659,-0.11610608510864026,0.3323326826987311,0.22249879340819245,0.22368540308295906,0.3339665995353937,0.7793964242444892,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Tub,CG18125,11-25MYA,D,2,0.34498936675355885,-0.08540593287708405,0.7949144987721093,0.797163298029635,-1.3211770827480522,-1.7574390409205771,1.873852265759217,1.428571960871993,-0.5597653370634725,-0.4527772172599355,-0.11429548892493181,0.010284183033438,-0.10741375350306374,0.01446254759623945,0.2354525642392141,0.24761471438952384,0.36902232343138686,0.5172401956713646,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG18331,0-3MYA,R,3,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-1.1484173041050156,-1.4470922773530397,-0.6899803739992357,-0.8038873913014205,-0.6831037083722364,-0.7901249242821914,0.2436164699161042,0.35155174547355933,-0.18223736183442568,-0.0391197577779866,FALSE,FALSE,TRUE,FALSE,TRUE
GD,Nos,CG18331,0-3MYA,R,3,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.5942803394412107,-0.48749152982116084,-0.18311744560529497,-0.07513508213163761,-0.18274932920770587,-0.0720771432846174,0.21546869201750565,0.21948283457103754,0.2435841842095998,0.36775692734907883,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Nos,CG2291,6-11MYA,NA,NA,-0.005226263436989185,-0.18690666731791594,2.580772638728432,2.5802067765261283,-4.931436775775969,-5.05868793683899,5.121288614469517,4.938214955464604,-0.5309213143499737,-0.5200563886220795,-0.11041907386233538,-0.10449177908768886,-0.1068923100310979,-0.09976118990749402,0.21935176764990386,0.22122629499562382,0.3321991871242046,0.33284743513733134,FALSE,FALSE,FALSE,FALSE,FALSE
GD,Act,CG2826,6-11MYA,D,2,0.3318144888202661,0.05222316137894222,0.7915056506486166,0.7891419351937543,-1.3569847070181051,-1.6184171454496068,1.8204095495355554,1.5427161084259446,-0.6029876513556901,-0.32332303109322363,-0.17107516483380256,0.11624332020851343,-0.1638403366014484,0.12360798590928583,0.22997854006556473,0.23682761893622042,0.3006135882428122,0.6146870302917866,FALSE,FALSE,FALSE,FALSE,FALSE
